CRA_ID,Neighborhood ID,Community Reporting Area Names,Neighborhood Names,Neighborhood District Name,Area Acres,Area Square Miles,Display Name,Total Population,Median Age (years),Total Households,Average Household Size,Total Housing Units,Occupied Housing Units,Percent Occupied Housing Units,Vacant Housing Units,Percent Value Housing Units,Owner-occupied housing units,High School graduate,Bachelor degree,Percent High school graduate or higher,Percent Bachelor degree or higher,Population 5 years and over,Speak English less than very well,Percent Speak English less than very well,Median household income(dollars),Percentage of all people whose income in the past 12 months is below poverty,Percentage of all families whose income in the past 12 months is below poverty,Total population for whom poverty status is determined,Population 200% below poverty,Percent of Population 200% below poverty,Person of Color,Population under 18,Speak language other than English,Percent of Population that speaks language other than English,Percent of Population under 18 years,"Housing Unit Value Less than $50,000","Housing Unit Value $50,000 to $99,999","Housing Unit Value $100,000 to $149,999","Housing Unit Value $150,000 to $199,999","Housing Unit Value $200,000 to $299,999","Housing Unit Value $300,000 to $499,999","Housing Unit Value $500,000 to $999,999","Housing Unit Value $1,000,000 or more",Median owner-occupied housing unit value(dollars),Median gross rent (dollars),Civilian labor force,Civilian labor force employed,Civilian labor force unemployed,Not in labor force,"Household income less than $10,000","Household income $10,000 to $14,999","Household income $15,000 to $24,999","Household income $25,000 to $34,999","Household income $35,000 to $49,999","Household income $50,000 to $74,999","Household income $75,000 to $99,999","Household income $100,000 to $149,999","Household income $150,000 to $199,999","Household income $200,000 or more",Percent civilian labor force that is unemployed,Profile Name,Population per Gross Acres,Housing Units per Gross Acres,Households per Gross Acres
2.3,2,Riverview,"Riverview, Delridge",Delridge Neighborhoods,"1,006",1.6,CRA - Riverview,"4,970",37.8,"1,861",2.66,"1,882","1,861",98.9,21,1.1,"1,298",573,"1,156",96.6,50.8,"4,617",279,6,"85,885",11.9,9.5,"4,885","1,363",27.9,"2,610","1,074",934,20.2,21.6,16,6,11,72,223,719,251,0,"374,000","1,487","2,757","2,560",197,"1,204",77,102,114,103,191,211,263,469,195,136,7.1,ACS 2013-2017 Demographic Profiles Riverview,4.9,1.9,1.9
11.1,11,Fremont,"Fremont, Wallingford, Northlake",Lake Union,894,1.4,CRA - Fremont,"18,248",32.2,"8,984",2.01,"9,464","8,984",94.9,480,5.1,"3,472",717,"6,842",98.5,77.2,"17,583",186,1.1,"95,035",5.9,1.7,"18,144","3,032",16.7,"2,989","1,758","1,797",10.2,9.6,16,0,15,49,386,807,"1,974",225,"589,966","1,561","14,299","13,865",434,"2,263",227,62,173,454,"1,221","1,535","1,092","1,896","1,065","1,259",3,ACS 2013-2017 Demographic Profiles Fremont,20.4,10.6,10.1
3.5,3,Beacon Hill,Beacon Hill,Greater Duwamish,841,1.3,CRA - Beacon Hill,"9,241",40.7,"3,223",2.83,"3,344","3,223",96.4,121,3.6,"2,337","1,367","1,659",79.5,33.8,"8,767","3,207",36.6,"67,157",14.3,10.5,"9,201","2,838",30.8,"7,176","1,542","4,795",54.7,16.7,102,0,0,11,405,"1,266",499,54,"370,900","1,391","5,517","5,021",496,"2,342",146,113,195,392,338,568,454,546,246,225,9,ACS 2013-2017 Demographic Profiles Beacon Hill,11,4,3.8
11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",Lake Union,728,1.1,CRA - Cascade-Eastlake,"19,567",32.1,"12,655",1.5,"13,519","12,655",93.6,864,6.4,"1,876",833,"6,209",97.4,71.9,"19,190",712,3.7,"93,834",10,3.3,"19,290","3,312",17.2,"7,756",940,"4,873",25.4,4.8,37,0,0,0,237,641,751,210,"523,566","1,667","15,114","14,385",729,"3,521",794,260,810,742,998,"1,548","1,494","2,512","1,591","1,906",4.8,ACS 2013-2017 Demographic Profiles Cascade Eastlake,26.9,18.6,17.4
2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",Delridge Neighborhoods,898,1.4,CRA - Highland Park,"7,054",38.1,"3,012",2.33,"3,052","3,012",98.7,40,1.3,"1,369",818,"1,062",86.9,29.4,"6,660","1,019",15.3,"55,000",7.5,6.6,"7,021","2,240",31.9,"3,838","1,555","1,851",27.8,22,0,0,0,75,443,725,113,13,"338,200","1,117","4,018","3,873",145,"1,607",82,209,331,336,355,569,412,373,195,150,3.6,ACS 2013-2017 Demographic Profiles Highland Park,7.9,3.4,3.4
9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",Northwest,"1,534",2.4,CRA - Greenwood-Phinney Ridge,"26,146",37.3,"11,837",2.19,"12,373","11,837",95.7,536,4.3,"6,746","1,416","8,281",98.2,70.5,"24,441",598,2.4,"92,464",8.4,4.3,"25,961","4,026",15.5,"5,008","4,542","2,491",10.2,17.4,64,37,11,151,365,"2,198","3,626",294,"556,916","1,398","17,033","16,381",652,"4,882",514,405,492,580,"1,125","2,123","1,261","2,475","1,308","1,554",3.8,ACS 2013-2017 Demographic Profiles Greenwood Phinney Ridge,17.1,8.1,7.7
5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",Central,850,1.3,CRA - Central Area-Squire Park,"20,610",33.2,"9,231",2.19,"9,712","9,231",95,481,5,"4,005","1,198","6,311",95.2,65.8,"19,853",926,4.7,"88,722",13.1,7.9,"20,412","5,194",25.4,"7,311","2,885","3,283",16.5,14,74,31,29,71,267,"1,426","1,857",250,"517,525","1,401","14,516","13,979",537,"3,462",384,213,567,632,773,"1,281","1,070","2,078",832,"1,401",3.7,ACS 2013-2017 Demographic Profiles Central Area Squire Park,24.3,11.4,10.9
10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",Ballard,"1,035",1.6,CRA - Sunset Hill-Loyal Heights,"14,961",39.6,"7,030",2.13,"7,237","7,030",97.1,207,2.9,"4,295",755,"5,054",98.6,69.7,"14,137",189,1.3,"92,037",7.3,7,"14,942","1,951",13.1,"2,314","2,703",865,6.1,18.1,28,0,0,0,94,"1,217","2,644",312,"619,900","1,465","9,436","9,111",325,"3,036",247,205,269,407,728,962,"1,035","1,467",792,918,3.4,ACS 2013-2017 Demographic Profiles Sunset Hill Loyal Heights,14.5,7,6.8
9.5,9,Haller Lake,"Haller Lake, Pinehurst",Northwest,"1,248",1.9,CRA - Haller Lake,"10,883",36.4,"4,600",2.35,"4,847","4,600",94.9,247,5.1,"2,447","1,317","2,188",92.8,46.9,"10,248","1,091",10.6,"67,317",14.5,11.4,"10,852","3,146",29,"3,754","2,135","2,336",22.8,19.6,106,0,0,14,348,"1,165",786,28,"422,600","1,265","6,510","6,321",189,"2,352",185,225,344,331,611,848,597,779,449,231,2.9,ACS 2013-2017 Demographic Profiles Haller Lake,8.7,3.9,3.7
8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",North,"1,211",1.9,CRA - Cedar Park-Meadowbrook,"14,499",41.9,"6,479",2.21,"6,892","6,479",94,413,6,"3,063","1,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
